colsample_bytree,gamma,learning_rate,max_depth,random_state,reg_alpha,reg_lambda,subsample,Train loss,Val Loss,Optimal rounds,Time taken
1.0,0.2,0.2,5,42,0.0,0.0,1.0,1.036811,1.0455143333333334,19,1.10s
1.0,0.2,0.05,5,42,0.0,0.0,1.0,1.036773,1.0456713333333332,77,3.16s
1.0,0.2,0.05,5,42,0.0,1.0,1.0,1.0371186666666665,1.0461426666666667,86,3.14s
1.0,0.2,0.2,5,42,0.0,1.0,1.0,1.0371386666666667,1.0464523333333335,21,1.09s
1.0,0.2,0.2,5,42,1.0,0.0,1.0,1.0389603333333335,1.047644,23,1.05s
1.0,0.2,0.05,5,42,1.0,0.0,1.0,1.0389723333333334,1.0477239999999999,90,3.03s
1.0,0.2,0.05,5,42,1.0,1.0,1.0,1.0392566666666667,1.0479776666666665,89,2.97s
1.0,0.2,0.2,5,42,1.0,1.0,1.0,1.0392693333333334,1.0481143333333334,23,1.04s
