learning_rate,weight_decay,mean_cv_score
0.001,0.0,1.1067663731218196
0.001,1e-05,1.1076678459336156
0.001,0.001,1.1081905141979658
0.01,0.0,1.1121281466516508
0.01,1e-05,1.1137185344079725
0.01,0.001,1.1139556639859465
0.0001,0.0,1.1313278152018178
0.0001,1e-05,1.132794671318158
0.0001,0.001,1.13381421728199
