fips,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,area_sqmi,pop_density,year,dem,repub,other
54069,43956,21061,22895,428,21740.0,30.0,20444.0,1266.0,40342.0,26370.0,6978.0,43298.0,658.0,18582,1892.0,1500.0,2249.0,12941.0,11829,16995,5164,3036,3221,23116,9190,1038,1009,1174,9573,8065,5478,3846,3787,1557,40992,19459,21533,1753,929,824,1211,673,538,109.023,403.1809801601497,2012,6786,10768,357
19071,7528,3759,3769,165,3945.0,10.0,3740.0,195.0,47225.0,23612.0,638.0,7445.0,83.0,3119,220.0,178.0,413.0,2308.0,1327,3516,721,573,588,4257,930,208,155,225,1561,1672,1024,303,430,197,7276,3615,3661,38,25,13,214,119,95,511.15,14.72757507580945,2008,1848,1989,57
28033,154715,75369,79346,7087,82058.0,333.0,75548.0,6177.0,59418.0,24531.0,15086.0,149300.0,5415.0,55768,1910.0,2323.0,5055.0,46480.0,29359,67234,15773,5865,14702,74647,21406,7489,3416,3797,38644,26443,9560,12432,7157,1817,116546,57576,58970,29838,13812,16026,8331,3981,4350,476.145,324.9325310567159,2008,19627,44222,260
16025,1156,641,515,201,589.0,0.0,515.0,74.0,41250.0,22073.0,207.0,1016.0,140.0,465,57.0,20.0,41.0,347.0,198,546,168,39,191,537,179,135,28,28,169,266,102,60,47,72,994,535,459,0,0,0,162,106,56,1078.941,1.0714209581432164,2012,159,402,17
51117,32774,16314,16460,773,14176.0,5.0,12850.0,1321.0,36431.0,20162.0,5899.0,31838.0,936.0,12594,1358.0,1024.0,2044.0,8168.0,7944,12723,4012,2781,6343,16540,3347,1879,2105,2359,6798,6200,3542,1131,1502,714,19456,9528,9928,12259,6168,6091,1059,618,441,625.485,52.39773935426109,2008,7127,7817,138
38013,2145,1126,1019,105,1120.0,1.0,1099.0,20.0,55455.0,33174.0,292.0,2061.0,84.0,988,57.0,80.0,120.0,731.0,354,1040,161,157,218,1121,276,100,26,92,468,410,243,132,97,47,2076,1096,980,10,6,4,59,24,35,1128.945,1.9000039860223483,2012,230,769,24
13261,32865,15610,17255,1564,15476.0,77.0,13455.0,1944.0,32430.0,17436.0,8536.0,31581.0,1284.0,11508,1698.0,1150.0,1647.0,7013.0,9889,9783,3772,2306,6495,13750,3955,2840,2099,1556,7645,4210,1895,1792,1592,571,14691,7183,7508,17014,7792,9222,1160,635,525,482.697,68.08619071591495,2008,6454,5717,64
31027,8375,4291,4084,196,4392.0,3.0,4303.0,86.0,72035.0,35820.0,444.0,8339.0,36.0,3354,102.0,90.0,235.0,2927.0,1505,3949,558,584,385,4480,1363,145,60,180,1427,1682,1371,687,420,256,8075,4132,3943,12,2,10,288,157,131,745.843,11.228904742687137,2020,725,4174,97
19081,11505,5753,5752,367,6170.0,0.0,5805.0,365.0,47318.0,22713.0,1246.0,11338.0,167.0,4774,308.0,304.0,479.0,3683.0,1854,6083,663,697,989,6535,1268,329,231,429,2449,2552,1534,442,638,188,11021,5506,5515,14,9,5,470,238,232,571.005,20.14868521291407,2008,2805,3016,109
48463,27009,13083,13926,19247,12002.0,17.0,11308.0,677.0,41752.0,19092.0,4517.0,23542.0,3467.0,8683,621.0,852.0,1268.0,5942.0,7260,9082,3098,1514,5208,11605,2822,1661,1799,1748,6475,3064,2066,1276,825,721,24114,11848,12266,133,78,55,2762,1157,1605,1558.626,17.328724145497382,2016,3867,4835,262
36117,91324,45865,45459,4362,45884.0,77.0,43843.0,1964.0,71007.0,36834.0,9958.0,88920.0,2404.0,37756,1849.0,1304.0,2919.0,31684.0,21118,39901,10047,4388,7342,47793,16898,3065,2200,2077,18261,17791,11741,6354,6356,4188,81988,40642,41346,2214,1393,821,7122,3830,3292,1383.049,66.03092153640254,2020,17456,26204,1371
19173,6225,3131,3094,432,3183.0,0.0,3052.0,131.0,44939.0,24044.0,839.0,6002.0,223.0,2752,207.0,184.0,345.0,2016.0,910,3162,586,384,489,3599,703,149,145,195,1335,1283,981,270,296,137,6019,3031,2988,20,12,8,186,88,98,534.653,11.643065689334952,2012,1262,1683,50
19013,131947,64336,67611,5214,71859.0,46.0,66181.0,5632.0,47002.0,24771.0,20919.0,125490.0,6457.0,52438,4034.0,2911.0,6005.0,39488.0,39092,50212,12387,6417,9866,70298,23369,4209,2997,2660,36829,21069,12400,11482,8150,3737,113211,55281,57930,12200,5688,6512,6536,3367,3169,572.676,230.40427746229977,2012,39821,26235,1085
34029,581413,279156,302257,50206,270388.0,574.0,242930.0,26884.0,61839.0,30951.0,63748.0,535365.0,46048.0,221720,9641.0,9123.0,23107.0,179849.0,123087,250289,49962,43619,45131,288842,110967,15747,10112,19272,107341,100255,81246,46655,40172,24140,534146,256362,277784,17844,8525,9319,29423,14269,15154,915.397,635.148465638406,2012,102300,146474,2501
20065,2430,1203,1227,100,1247.0,0.0,1171.0,76.0,47071.0,30222.0,238.0,2401.0,29.0,1200,34.0,39.0,135.0,992.0,365,1166,240,250,165,1327,438,83,35,47,468,406,453,117,183,138,2207,1068,1139,103,97,6,120,38,82,898.754,2.7037431822278397,2020,228,1080,29
12075,43268,21126,22142,3992,18019.0,0.0,17222.0,797.0,49933.0,29042.0,6718.0,41381.0,1887.0,17843,1038.0,1020.0,2376.0,13409.0,9528,17871,5614,3262,4471,25165,5202,1525,1662,1284,9268,8594,7303,1272,1818,2112,36022,17817,18205,3697,1658,2039,3549,1651,1898,1590.948,27.196363426083064,2020,6205,16749,191
13303,19975,10209,9766,560,8186.0,13.0,7809.0,364.0,43810.0,23687.0,3045.0,19620.0,355.0,7256,555.0,503.0,987.0,5211.0,6139,6329,2346,1665,2443,10725,2524,908,684,851,4673,3913,2139,1117,753,654,8602,4421,4181,10156,5004,5152,1217,784,433,684.353,29.18815289770046,2020,4730,4663,66
42025,63931,31783,32148,2885,31616.0,39.0,29356.0,2221.0,53624.0,26867.0,7861.0,62165.0,1766.0,25739,1381.0,1287.0,2695.0,20376.0,14582,27290,7767,4094,5456,37681,8278,1837,1541,2078,13329,15105,9247,3489,3234,1555,61489,30542,30947,1269,704,565,1173,537,636,387.385,165.03220310543776,2016,8936,18743,1097
31101,8356,4146,4210,402,4500.0,12.0,4325.0,163.0,42898.0,25315.0,745.0,8173.0,183.0,3735,174.0,317.0,546.0,2698.0,1082,4446,785,583,775,4577,1208,282,165,328,1491,1892,1194,429,543,236,8057,3987,4070,9,6,3,290,153,137,1061.6,7.871137905048983,2008,974,2942,52
40105,10674,5211,5463,253,4937.0,0.0,4665.0,272.0,37500.0,20752.0,1865.0,10578.0,96.0,4224,485.0,161.0,659.0,2919.0,1744,5108,976,527,1345,5634,929,441,353,551,2204,2207,1223,529,324,76,7382,3544,3838,282,132,150,3010,1535,1475,565.777,18.866090350084924,2008,1411,3031,0
17171,5374,2647,2727,21,2886.0,0.0,2736.0,150.0,49462.0,27530.0,484.0,5330.0,44.0,2140,156.0,82.0,241.0,1661.0,870,2617,545,284,479,2871,727,107,136,236,1125,1144,602,394,228,105,5337,2625,2712,0,0,0,37,22,15,250.913,21.41778225918944,2008,1090,1455,55
29123,12353,6060,6293,252,5493.0,0.0,4783.0,710.0,37648.0,17459.0,2414.0,12181.0,172.0,4536,353.0,441.0,819.0,2923.0,2271,5433,1422,834,2277,6319,854,501,844,932,2836,2246,1237,405,289,160,11997,5862,6135,76,45,31,280,153,127,497.597,24.825310441984175,2012,1588,3227,115
