P(democrat|C),P(other|C),P(republican|C),P(non_voter|C)
0.1276867309950477,0.0073007607086332,0.3376048739810418,0.293136604210272
0.1052951760774569,0.0066703795733013,0.3579127752549053,0.3185031274098152
0.1935924749768862,0.0032158218434698,0.2259918800498452,0.370141094183379
0.0892544155318862,0.0037751112309559,0.3381870477731338,0.3568828367264358
0.0446874418132268,0.0040117135264146,0.4182846116085786,0.3034175736750308
0.3336560805577072,0.0020333075135553,0.1109604957397366,0.3427575522850478
0.2088931036299457,0.0034244771086876,0.2875507086033402,0.2770665402244321
0.1309894802086741,0.0057333723592913,0.3021728276028305,0.349339715225285
0.1838957586964058,0.0047960245001733,0.2528891713856466,0.3506587310759246
0.0647812038772986,0.0037496509633411,0.4221548526068052,0.3207946068849946
0.0680770934869295,0.0033673017279574,0.3563358440407621,0.3350686752326067
0.2468229536664298,0.0032362459546925,0.3390954297892493,0.2114610466492981
0.2495879954896348,0.002428658166363,0.3176337930436291,0.210252406973715
0.0891688366528256,0.0043634316278415,0.3941867830248434,0.3074811739038603
0.0445721077654516,0.0044902271526677,0.4281563655573164,0.2952324352878993
0.0947739875651151,0.0056012995014843,0.3155212009186131,0.347541963068762
0.1456783656364589,0.0059367906408241,0.3353064431639602,0.3039462196612503
0.2562197650310988,0.0028507256392536,0.2973393227366966,0.2390290255701421
0.1738793687675476,0.0050343692516216,0.3515345144738116,0.3090328202149259
0.0724788237174364,0.0032763305098289,0.3885248521655745,0.3165787651163998
0.1287391139719803,0.0040136312003029,0.3683453237410072,0.270200681560012
0.0507226677540664,0.0055842508268768,0.417742739341217,0.3031240088804283
0.1045394803356586,0.0053584066322919,0.289212415327065,0.3703164492973378
0.3191045243437875,0.0028701142827323,0.1441319208892136,0.2980744142357635
0.0597237723214285,0.004296875,0.3455217633928571,0.35125558035714
0.1182178940406413,0.0056902410655232,0.3439688006020936,0.3147421716422988
0.133804924500068,0.0033464834716365,0.2957148687253434,0.3403618555298566
0.1119228238572589,0.0061249371057011,0.3437705615977087,0.3237217943259631
0.0855985764251089,0.0043566300546112,0.447935202798061,0.2512732404737035
0.0651650994970479,0.0036237543344475,0.3241385773640311,0.3596576176939141
0.0598566442751529,0.0038278230194768,0.407100236424363,0.310278830637592
0.5040228393459641,0.0020763041785621,0.1135478847651181,0.1602647287827637
0.3163071496404829,0.003052503052503,0.2165242165242165,0.229819563152894
0.1507927323226478,0.0049184122208077,0.3823052887397292,0.2584770281217414
0.1206745142002989,0.0059603886397608,0.3047272047832586,0.3400317638266034
0.0706412254361625,0.0047322209129955,0.3738264472233836,0.3445588961952145
0.2702624709006121,0.0079090834715476,0.2065301629565721,0.2886822904658097
0.0704357220021606,0.0029528267915016,0.4446525027007562,0.2640259272596298
0.126313222868895,0.0074526391671702,0.3362804651803793,0.3364182806984032
0.1075612996738736,0.0044389419011957,0.3720860007247252,0.2993417079357375
0.1590854584699016,0.0078115185637769,0.2410892728663933,0.3834496305517135
0.1312104722694075,0.0088580504611368,0.3324408103724603,0.3067207938655811
0.4897074756229685,0.0026593125184674,0.1808332512557864,0.1064709937949346
0.3702469007188249,0.0038545681841858,0.0802687779977081,0.3800395874570237
0.2239360050900377,0.0120606186550909,0.2636865316677826,0.2854936489977668
0.2861313868613138,0.0035974973931178,0.2785714285714286,0.2049009384775775
0.0500975927130774,0.0047597849536006,0.4179365133719138,0.3165085778858303
0.0606905425691614,0.0053205069289135,0.3389499913197104,0.3425650766418477
0.1920227699950226,0.0059123703120243,0.244620395382214,0.3249459985792875
0.2248183286233346,0.0033306419055308,0.3102038756560355,0.2503027856277724
0.2828581698315011,0.0056940718531376,0.1460163414163729,0.329581119702625
0.1075043459895046,0.00669363617163,0.3222043508635115,0.3346736852366291
0.4552423634862602,0.0036560915202264,0.157919565986555,0.1718363014506404
0.2125231175693527,0.0027476882430647,0.2955878467635403,0.2961162483487417
0.170803406370276,0.0049398430160317,0.2437191259811498,0.3920356396035971
0.0993281933360386,0.0033815771675909,0.3859055863654808,0.3027638757383082
0.1907933864636612,0.0040272561980662,0.1676154225220479,0.3969481214634031
0.1485735722324443,0.0088515336108183,0.3559370478215045,0.2585925079047464
