P(democrat|C),P(other|C),P(republican|C),P(non_voter|C)
0.1154055426581543,0.0034460243760882,0.3152024085896692,0.3081471271038855
0.0963573128317774,0.0046965299024607,0.3452629376846839,0.3278209251850077
0.2180021387219292,0.0017331022530329,0.2046535639219735,0.3594527821822304
0.0972056681234273,0.0037964066569549,0.270692623493577,0.4118659780161539
0.0515222482435597,0.004839968774395,0.3600832682799896,0.3428224477404777
0.3797811652482932,0.0009351912466099,0.1169924249509024,0.288787056953144
0.2131267358573308,0.0017054036934171,0.2478682453832285,0.3017102762753951
0.1323622275698462,0.0039936511187343,0.2583755738740123,0.3805232706978614
0.2015487958698776,0.0033439910826904,0.223695403478924,0.3544043882549611
0.0818677520927732,0.005414330696567,0.2882267106981031,0.4211658090776401
0.0775907357072702,0.0030378474680797,0.3182202325209566,0.3561819053927471
0.2794921009892219,0.0022146759190905,0.3065111472021261,0.1968846892071429
0.2500493466503494,0.0018554340531364,0.2948955824878607,0.2180727172239508
0.1304986414041272,0.0049937578027465,0.3537489902327972,0.288903576411835
0.0647765176784523,0.0041360907271514,0.3517011340893929,0.3407605070046666
0.0970902495761542,0.003528762370382,0.2891219492962189,0.3712494578716995
0.1682112642454717,0.0051935181956653,0.255748655741315,0.352333412857166
0.2737774355025029,0.0021563342318059,0.2648440508278783,0.2360415864458957
0.1948075042233484,0.0025784653685427,0.2710945140926469,0.3413354672357044
0.0833663314062458,0.0029566273329637,0.3208204640848974,0.3711623241202678
0.1470799253838427,0.0026546132874156,0.3107332472377672,0.3069306930693034
0.0626270640154708,0.0050329746615758,0.3594857936232459,0.3453909852729674
0.1056925199448143,0.0032591526203187,0.2620918561174095,0.3877391878111657
0.3418571461993777,0.0012399691177502,0.1471118077813911,0.2518307091219586
0.073711905900892,0.0041224639108534,0.2579142865182767,0.4130343022764974
0.1114776957458199,0.0034611122869486,0.3268510103210866,0.3273863622215828
0.1442878923295305,0.0024446664213238,0.2441249145681089,0.3857578465906073
0.1229568023356318,0.0057334383343257,0.2797572172176018,0.3665462996753903
0.106763029555203,0.0044068394147717,0.3557200775603737,0.3144720606381068
0.1001484382402172,0.0038214951204876,0.2389855667498342,0.4138268641632155
0.0760366945107398,0.0039528639618138,0.3421464797136038,0.3559069212410469
0.5138667879063423,0.0017049329393043,0.0913844055467151,0.1579904523755373
0.3515234197362437,0.0014292210745143,0.2085363476905086,0.1996361982719385
0.1785176606832657,0.0028372900984365,0.3258830341632889,0.275448755066586
0.1199759407832827,0.0027260644748202,0.2839569650462267,0.3522055898873643
0.1098241907492643,0.0059609145099222,0.2723722930657209,0.390986946351766
0.2426650719301068,0.0035805680945427,0.2150511357944489,0.3060376361875641
0.1153630501822259,0.0044154751892346,0.3824642556770395,0.2809083263246394
0.1348458719551627,0.0054106488467342,0.2577171804268161,0.3924876050873004
0.1498152800354662,0.004994827840993,0.2622727944436234,0.3587409487217345
0.1446714933351377,0.0053048244130184,0.2178361188172407,0.4124162663238342
0.1127605630571202,0.0038431975403535,0.2901900948753542,0.3571993988550684
0.5263784575929658,0.0016486535995603,0.1608353178237772,0.0753801062465625
0.4411119239209948,0.0008778346744696,0.0649109973177273,0.3016337478663711
0.1806811196023646,0.0062931745277933,0.2647911452703588,0.3180791832857917
0.3009907755380936,0.0016594270096149,0.2604324271560349,0.2034750353848374
0.0736724866511612,0.0052085039473253,0.3176532250139221,0.3932911848527501
0.0669244908150147,0.0042498485991436,0.2748270842851223,0.406274901456632
0.1902208697122293,0.0029248028595925,0.2291852334891135,0.3331449480128942
0.2183126749300279,0.0023546137100715,0.2550535341418988,0.2802434581722831
0.2756609132619619,0.0022154249508411,0.1674983613720777,0.3103473891195065
0.1122310929983965,0.0041171165152324,0.2955555184393372,0.3531450427578803
0.4477114574144859,0.0024502597275311,0.1476036459864745,0.1685778692541379
0.2269601100412654,0.0016302409699933,0.2610423353201895,0.2884507616281997
0.1816895472061657,0.0032815510597302,0.2397338631984585,0.377197736030825
0.1354515050167224,0.0042246083436014,0.3179017778560112,0.3154374229889073
0.1842751842751842,0.0017725517725517,0.1452790452790452,0.4162864162864123
0.0996729102044062,0.0050703889286566,0.3551061799093295,0.290816630875683
0.0680533070552075,0.0037070927477065,0.3405715492362919,0.354191595692261
0.4035584009528772,0.0014888706915804,0.1180674458423285,0.2690389339685815
0.1702521028981426,0.0027181565511246,0.2356470314547035,0.3644656128708358
0.1530209468458651,0.0027606247729749,0.3001816200508536,0.3254146991161121
0.161312729652187,0.0039965772386369,0.2302713041727487,0.3923793224945853
0.0990318829197565,0.0047273111718596,0.3270000453096917,0.3463019739922337
0.1736593336056485,0.0023924840987337,0.33617319250744,0.2467759817937764
0.428257235858186,0.0003518958388317,0.1477082783496085,0.1655669921703142
0.0530178100263852,0.0047823218997361,0.3426781002638522,0.386584762532978
0.0103327542608777,0.0011369048018297,0.0152392195265915,0.7197445820952548
0.2376840120872723,0.0062515594244684,0.1143577943500318,0.3392198719192669
0.1417814031359178,0.0073390567783069,0.2255001643642924,0.3975628215615335
0.215414859700921,0.0092330120677087,0.1562396459942422,0.3933012803993575
0.1445663198226963,0.0070620938356936,0.2527140227639833,0.3883963787986898
0.0967275066334325,0.004556297070569,0.2164509125995015,0.4027766610382965
0.1488636363636363,0.0081818181818181,0.1809090909090909,0.3759090909090878
0.0923923727147631,0.0060448201297424,0.1825240809907607,0.5442303911932342
0.1525791017945565,0.0061775120826917,0.1899702131691333,0.3950327077541486
0.0964678341778528,0.0064647721772799,0.2428265228514139,0.4583024663920709
0.1576440379945854,0.0047074584376075,0.184986370698397,0.3657676599465952
0.2026403019098942,0.0062629387077805,0.1759855569786456,0.3916088704155658
0.1135585400861185,0.0049466885380356,0.1591116465039983,0.4668264301824864
0.2007619047619047,0.0036613756613756,0.0896296296296296,0.4127619047619013
0.1587259989985446,0.0088773872309758,0.3016907749112027,0.3489510456785296
0.0896437382416742,0.0026904538527597,0.1159178567705618,0.5221962442852641
0.1301627697364933,0.0075287630560415,0.206616828376014,0.4215577116801834
0.1333675421001073,0.0090964220739842,0.2270373653029808,0.3925922470494907
0.1256742965446858,0.0116392088253875,0.3326043640958351,0.3500024298974551
0.0973126808276478,0.0084905700934177,0.2349244016834973,0.3852483330538938
0.1014824181441523,0.0123759046517259,0.300223304366542,0.3570986574833832
0.1280487804878048,0.0060975609756097,0.188582537999293,0.4445033580770559
0.1253323205469046,0.0106342575009494,0.2768704899354348,0.4016331181162138
0.1337870122348512,0.0131035980597987,0.2217114312604068,0.4081662202273188
0.2305683697449734,0.0036556706414831,0.1453564278875446,0.3895900426494875
0.1671491228070175,0.0111842105263157,0.1904824561403508,0.4342105263157866
0.1115747576555177,0.0094369904346151,0.2070360146369647,0.4591384733902512
0.101577947505137,0.0129492497964564,0.3370294265886093,0.3497460551312336
0.0982901011980923,0.0125625218099336,0.26904734209608,0.3789694079329959
0.1457786885245901,0.0044262295081967,0.2372950819672131,0.3924999999999969
0.1419126328217237,0.0099645808736717,0.2131759149940968,0.4008972845336447
0.1054439825712425,0.0082436019432062,0.2038363299444082,0.4333550358090815
0.0789486453699959,0.0091386979377274,0.2449656287909421,0.4102709260008054
0.1890895320098859,0.0046041616838077,0.1394801881527545,0.3839193175476327
0.1295254333617504,0.0075589656152316,0.2426257459505541,0.3734015345268509
0.1680915262760875,0.0103092783505154,0.2093286396781493,0.3749057078199618
0.1938581177590858,0.006427551182352,0.1504523091572766,0.3912870972861419
0.1406041165463779,0.0062015503875968,0.2078053996257685,0.4181769580326074
0.1156242572408407,0.0094818512104852,0.2268344029065227,0.4063104818172522
0.0961024498886414,0.0101893095768374,0.2578507795100223,0.3980512249443174
0.1188410541823539,0.0099034211818628,0.2413651988868882,0.4273203470289708
0.1425974133300276,0.0094004379984298,0.2687285649353332,0.3703462666831917
0.0814921727545242,0.0101032530254246,0.2680692794493172,0.4026312867769475
0.0930882010705143,0.0160577146846637,0.2111007679776588,0.4302071212473793
0.1100851955930237,0.0075382488068156,0.1910879164993978,0.4286542664704015
0.1150945097214292,0.0100069116807404,0.2132704270216666,0.4400937584517801
0.1074899525027402,0.0072341980270369,0.2113262696382901,0.4095725246620353
0.0890100648381758,0.0105260302216434,0.2367814220992376,0.4225875586663382
0.1127052211211359,0.0132376867327318,0.2643839668688064,0.4210176009466013
0.1180547729065705,0.0101431308463879,0.1731094331116871,0.4943649273075591
0.2340097783135757,0.0052642153907976,0.1275199249882794,0.3987944544906537
0.1085262300802605,0.0091117056337482,0.1963475631034081,0.4418207901981278
0.1587065349749695,0.0058178866188607,0.231768366932756,0.3873630090650755
0.104177591330187,0.0125852123754588,0.2060245877760298,0.4538250888539268
0.2075657570682691,0.0036449610875775,0.1260959511378189,0.4647817948970515
0.100970736200666,0.0072273790122582,0.1558137887054488,0.5519025012399877
0.1207594148770619,0.0088702147525676,0.2633831310301898,0.3755057578586955
0.0907858466265985,0.0109810655700664,0.2295178272854625,0.4366216277283172
0.0802219116346729,0.0086853589663139,0.2549987164494138,0.3862203713739662
0.1337283384301733,0.013124362895005,0.2715978593272171,0.3439729867482136
