P(democrat|C),P(other|C),P(republican|C),P(non_voter|C)
0.1075362318840579,0.0156702898550724,0.3292028985507246,0.3053985507246342
0.0886947579850749,0.0186154237964124,0.3502188777888297,0.3229828886101823
0.188930261422698,0.0055852920642308,0.2115429369327437,0.3830967341556092
0.0831890620144715,0.0091889732321214,0.2991077373818085,0.4016957428863111
0.0374013357619915,0.0099401509237574,0.3965478358920982,0.3224737618180213
0.3409969088098918,0.0038639876352395,0.1101236476043276,0.3373261205564113
0.186067415730337,0.0052434456928838,0.2447440699126092,0.3359300873907583
0.1150497836626179,0.0152652522198474,0.285539279570453,0.3652365810005348
0.1709927274877313,0.0080707148347425,0.2318630639153314,0.3819547093951372
0.0598383166363671,0.0090124937144625,0.3463041039724597,0.3803813870730635
0.0662645117231959,0.0085818347370817,0.3432961529706351,0.3394946505804657
0.2377820267686424,0.0058891013384321,0.3140344168260038,0.2396175908221764
0.2357403534670111,0.005822774428999,0.2927789395989666,0.2446795423791328
0.092465241441172,0.010614441620571,0.3920615936612349,0.2941396322320192
0.0457892622841076,0.0097067880573035,0.3858615611192931,0.3284910965323302
0.0822999532054281,0.0130829823740446,0.3095265949149898,0.3579784744969549
0.1341774474722451,0.0157262134140746,0.3072942471786402,0.3297917240113739
0.246124340738373,0.0067923925203771,0.2732939108198817,0.2619466197858364
0.164163979732842,0.0081989866421004,0.3114693689543989,0.3457392906494669
0.0639072581724719,0.0076570908409413,0.3551979866670236,0.353966426601694
0.1200144248106743,0.0064911648034619,0.3254958528669311,0.3232600072124018
0.0461409497892192,0.0131935417248794,0.4007750902044634,0.3142638465369957
0.0895949649781748,0.0107197238858999,0.2803370216221703,0.3857476398335157
0.3206675160508631,0.0041719753178945,0.1446201503909665,0.2862174923180662
0.0508707865168539,0.0112219101123595,0.3006320224719101,0.3917696629213445
0.1039624686006994,0.0145668127862877,0.3402699108506132,0.3166157710683117
0.1233658379768538,0.0081708101157308,0.2661540934419202,0.379205957993996
0.1014387161328553,0.0132991383246388,0.3142929307648219,0.3545206384363527
0.0821223997588182,0.0105517033463973,0.4047030449201085,0.2878504672897161
0.0696531608648785,0.0119523175448608,0.3001077927842242,0.3708071777312755
0.0575667207730927,0.0090219319768978,0.3772602015778943,0.3350949379034358
0.4762639449323522,0.0034417279848089,0.0994540707334441,0.1998575836695912
0.3207496473433197,0.0061798884933163,0.2131389803183986,0.2261033116141565
0.1338472319551506,0.0086428404578369,0.3288951179630927,0.3191427236626926
0.1021925789635081,0.0119499386691199,0.2944648880711438,0.3577027752223212
0.0705071601336046,0.0122662878642454,0.3200368564517987,0.3829807655392142
0.237725264134131,0.0190182635946488,0.2042273584162257,0.309206658059194
0.0743558458336323,0.0076796095600373,0.4179286585803488,0.2800545467594884
0.1074904142139655,0.0180806826159745,0.3013339093805692,0.3730409893611242
0.1093424979650899,0.0111241747309396,0.3265804467757981,0.3349311145277467
0.1332814353964856,0.0209935525184101,0.2173247032086736,0.4136809658038605
0.1017495593861496,0.0189034088466663,0.3123737265185057,0.3368654085887431
0.4770418132082845,0.004884720593982,0.1710629152012505,0.1193825713169172
0.3970819775375249,0.007504985829747,0.0751023407158601,0.3412931667891221
0.1756963866204273,0.0308955140396017,0.2503635753439982,0.3215572211656754
0.2873886784727198,0.0074726174634046,0.2678370355205241,0.208619101238609
0.0477890872684798,0.009277490405473,0.3762389454363424,0.355915234440177
0.051679016238373,0.0122549792422092,0.30724683378002,0.38020915444847
0.1740852121863989,0.0131071555181486,0.2293836622381282,0.3462724793143241
0.2013759761993306,0.0066939382670137,0.269384529564894,0.2938359985124542
0.2596093257718966,0.0130386311860792,0.1498318946334069,0.3410313693867537
0.0944745722872349,0.0159836134383237,0.3146857843219556,0.3449740602071788
0.4031203879401223,0.004954670040059,0.1483238456672991,0.2254901960784283
0.1956843038723026,0.0056163168785101,0.2687949551679968,0.3327421420829608
0.1513636499715594,0.0125437834925006,0.2303086549112355,0.4100230518216895
0.1014884380260476,0.0084610613980685,0.3413218747231328,0.3310445645432766
0.1645508735162249,0.0080222630683867,0.1582120832116537,0.4225688420112311
0.1087612006002054,0.0248839113702955,0.3456388069733647,0.281149857285534
0.0640162188165761,0.0132866011499782,0.3625294939637596,0.3311112638306612
0.3654986522911051,0.0064690026954177,0.1217558721601848,0.3120523681170546
0.150449947247564,0.0083410910444982,0.2558679327251287,0.3700117917209675
0.135815533024904,0.0091790530564031,0.3345309577714342,0.309479279456636
0.1540252069462158,0.0155906756606033,0.2314257588027913,0.3895826160329335
0.0697284976664134,0.0109934411486517,0.3762578884530104,0.3204688880963789
0.1426425524244427,0.0070299825752568,0.3630355104248032,0.264796010334672
0.4014247386437228,0.0038856508465167,0.160699417152373,0.1895642520122084
0.036523560209424,0.0089214659685863,0.3865130890052356,0.3589528795811488
0.0140183444102231,0.00270843464635,0.0073857189171664,0.728693872588747
0.2388495847431559,0.0326892424708481,0.1152093062274544,0.3359805374570033
0.1381860800291418,0.0354215665312522,0.2224597914142494,0.383816786639105
0.2310989395009164,0.0447306674654285,0.1505380945249149,0.3621957394609748
0.1311423220973782,0.0211048689138576,0.2655805243445693,0.3790074906367009
0.0871459119828929,0.0213310805459489,0.2118588135906439,0.4068745215026762
